State,State Tax Rate,Rank,Avg. Local Tax Rate,Combined Rate,Rank,Max Local Tax Rate
Ala.,4.00%,40,5.22%,9.22%,4,7.50%
Alaska,0.00%,46,1.76%,1.76%,46,7.50%
Ariz.,5.60%,28,2.80%,8.40%,11,5.60%
Ark.,6.50%,9,2.97%,9.47%,3,5.125%
Calif. (b),7.25%,1,1.41%,8.66%,9,2.50%
Colo.,2.90%,45,4.75%,7.65%,16,8.30%
Conn.,6.35%,12,0.00%,6.35%,33,0.00%
D.C.,6.00%,(17),0.00%,6.00%,(38),0.00%
Del.,0.00%,46,0.00%,0.00%,47,0.00%
Fla.,6.00%,17,1.05%,7.05%,23,2.50%
Ga.,4.00%,40,3.31%,7.31%,19,5.00%
Hawaii (c),4.00%,40,0.44%,4.44%,45,0.50%
Idaho,6.00%,17,0.03%,6.03%,37,3.00%
Ill.,6.25%,13,2.83%,9.08%,6,10.00%
Ind.,7.00%,2,0.00%,7.00%,24,0.00%
Iowa,6.00%,17,0.94%,6.94%,27,1.00%
Kans.,6.50%,9,2.18%,8.68%,8,4.00%
Ky.,6.00%,17,0.00%,6.00%,38,0.00%
La.,4.45%,38,5.07%,9.52%,2,7.00%
Maine,5.50%,29,0.00%,5.50%,42,0.00%
Mass.,6.25%,13,0.00%,6.25%,35,0.00%
Md.,6.00%,17,0.00%,6.00%,38,0.00%
Mich.,6.00%,17,0.00%,6.00%,38,0.00%
Minn.,6.875%,6,0.58%,7.46%,18,2.00%
Miss.,7.00%,2,0.07%,7.07%,22,1.00%
Mo.,4.225%,39,3.96%,8.18%,14,5.625%
Mont. (d),0.00%,46,0.00%,0.00%,47,0.00%
N.C.,4.75%,35,2.22%,6.97%,26,2.75%
N.D.,5.00%,33,1.86%,6.86%,29,3.50%
N.H.,0.00%,46,0.00%,0.00%,47,0.00%
N.J. (e),6.625%,8,-0.03%,6.60%,30,3.313%
N.M. (c),5.125%,32,2.69%,7.82%,15,4.125%
N.Y.,4.00%,40,4.52%,8.52%,10,4.875%
Nebr.,5.50%,29,1.43%,6.93%,28,2.50%
Nev.,6.85%,7,1.47%,8.32%,12,1.65%
Ohio,5.75%,27,1.42%,7.17%,21,2.25%
Okla.,4.50%,36,4.44%,8.94%,7,7.00%
Ore.,0.00%,46,0.00%,0.00%,47,0.00%
Pa.,6.00%,17,0.34%,6.34%,34,2.00%
R.I.,7.00%,2,0.00%,7.00%,24,0.00%
S.C.,6.00%,17,1.46%,7.46%,17,3.00%
S.D. (c),4.50%,36,1.90%,6.40%,32,4.50%
Tenn.,7.00%,2,2.53%,9.53%,1,2.75%
Tex.,6.25%,13,1.94%,8.19%,13,2.00%
Utah (b),6.10%,16,1.08%,7.18%,20,2.95%
Va. (b),5.30%,31,0.35%,5.65%,41,0.70%
Vt.,6.00%,17,0.22%,6.22%,36,1.00%
W.Va.,6.00%,17,0.41%,6.41%,31,1.00%
Wash.,6.50%,9,2.71%,9.21%,5,4.00%
Wis.,5.00%,33,0.46%,5.46%,43,1.75%
Wyo.,4.00%,40,1.34%,5.34%,44,2.00%
